Number,Name,Position,Age,Height,weight,Shoots,Experience,Birth_Date
8,Justin Abdelkader,LW,23,6-2,213,L/-,3,"February 25, 1987"
44,Todd Bertuzzi,RW,35,6-3,229,L/-,14,"February 2, 1975"
11,Dan Cleary,LW,32,6-1,205,L/-,12,"December 18, 1978"
13,Pavel Datsyuk,C,32,5-11,194,L/-,8,"July 20, 1978"
33,Kris Draper,C,39,5-10,188,L/-,19,"May 24, 1971"
17,Patrick Eaves,RW,26,5-11,203,R/-,5,"May 1, 1984"
48,Cory Emmerton,C,22,6-0,191,L/-,NA,"June 1, 1988"
52,Jonathan Ericsson,D,26,6-4,218,L/-,3,"March 2, 1984"
51,Valtteri Filppula,C,26,6-0,189,L/-,5,"March 20, 1984"
93,Johan Franzén,C,31,6-4,232,L/-,5,"December 23, 1979"
43,Darren Helm,C,24,6-0,192,L/-,3,"January 21, 1987"
96,Tomas Holmström,LW,38,6-0,198,L/-,13,"January 23, 1973"
35,Jimmy Howard,G,26,6-1,218,-/L,4,"March 26, 1984"
26,Jiri Hudler,C,27,5-10,190,L/-,5,"January 4, 1984"
37,Doug Janik,D,30,6-2,211,L/-,6,"March 26, 1980"
4,Jakub Kindl,D,23,6-3,199,L/-,1,"February 10, 1987"
55,Niklas Kronwall,D,30,6-0,194,L/-,6,"January 12, 1981"
5,Nicklas Lidström,D,40,6-1,192,L/-,18,"April 28, 1970"
31,Joey MacDonald,G,30,6-0,197,-/L,4,"February 7, 1980"
38,Thomas McCollum,G,21,6-2,215,-/L,NA,"December 7, 1989"
20,Drew Miller,LW,26,6-2,183,L/-,3,"February 17, 1984"
90,Mike Modano,C,40,6-3,212,L/-,20,"June 7, 1970"
39,Jan Mursak ,LW,23,5-11,190,R/-,NA,"January 20, 1988"
30,Chris Osgood,G,38,5-10,180,-/L,16,"November 26, 1972"
28,Brian Rafalski,D,37,5-10,194,R/-,10,"September 28, 1973"
24,Ruslan Salei,D,36,6-1,212,L/-,13,"November 2, 1974"
23,Brad Stuart,D,31,6-2,215,L/-,10,"November 6, 1979"
21,Tomas Tatar,C,20,5-10,173,L/-,NA,"December 1, 1990"
40,Henrik Zetterberg,LW,30,6-0,197,L/-,7,"October 9, 1980"
